,EV,EV,HYBRID,HYBRID,OTHERS,OTHERS,PETROL,PETROL,DIESEL,DIESEL,TOTAL,TOTAL
,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023
Austria,2909,3265,213,362,12,17,2029,1934,27912,25123,33075,30701
Belgium,2644,307,83,57,94,102,5334,4354,57625,59966,6578,67549
Bulgaria,80,147,0,0,1,17,266,216,6447,4812,6794,5192
Croatia,45,191,12,24,35,69,161,197,8242,6982,8495,7463
Cyprus,25,15,125,74,0,0,409,359,1689,1318,2248,1766
Czechia,622,353,13,1,132,759,1464,1255,1953,20367,21761,22735
Denmark,4941,3266,657,722,0,0,1204,1056,21251,20702,28053,25746
Estonia,98,126,53,30,0,0,353,304,3576,3444,408,3904
Finland,1304,1602,113,175,10,15,96,83,8212,9146,9735,11021
France,27059,27789,11701,9522,4746,4209,41581,42569,294660,291421,379747,375510
Germany,14999,20798,1631,1812,2933,3336,14902,14292,246613,219138,281078,259376
Greece,1332,998,118,0,34,38,402,748,7986,8224,9872,10008
Hungary,1388,674,38,82,2282,1328,573,1059,20501,17606,24782,20749
Ireland,957,966,164,50,3,3,343,303,29318,27532,30785,28854
Italy,4299,7275,14864,16399,7427,8059,7606,8455,164321,156544,198517,196732
Latvia,56,81,0,0,0,2,126,162,2555,2454,2737,2699
Lithuania,76,179,1,1,0,2,227,190,2589,2732,2893,3104
Luxembourg,297,432,0,5,0,0,198,203,3502,4772,3997,5412
Malta,162,105,7,8,0,0,52,45,668,656,889,814
Netherlands,11704,9972,483,263,202,1048,2734,1601,112937,5641,129878,69294
Poland,1867,245,310,77,130,190,3722,3845,60824,5796,66853,64522
Portugal,233,2448,10,10,36,38,164,134,29764,25893,32304,28523
Romania,844,557,49,100,41,52,1277,1067,18001,15459,20212,17235
Slovakia,163,258,0,2,17,15,524,613,8357,8219,9061,9107
Slovenia,76,108,10,21,7,7,191,177,8293,7373,8577,7686
Spain,7184,9965,1625,4124,562,556,7667,5483,149119,126016,166157,146144
Sweden,8698,8667,2,0,3256,1996,861,1044,25511,32006,38328,43713
EU,96159,105757,32282,33921,23778,21858,94466,91748,1340003,1212275,1586688,1465559
Iceland,189,398,9,5,4,1,311,298,1357,127,187,1972
Norway,8244,9002,0,0,4,4,296,466,19915,20101,28459,29573
Switzerland,2614,3914,41,95,79,99,2778,2776,25229,23686,30741,3057
EFTA,11047,13314,50,100,87,104,3385,354,46501,45057,6107,62115
United Kingdom,23317,22269,8201,7425,1,2,702,7334,315726,307815,354265,344845
EU + EFTA + UK,130523,14134,40533,41446,23866,21964,104871,102622,1702230,1565147,2002023,1872519
