country,EV,EV,EV,HYBRID,HYBRID,HYBRID,OTHERS,OTHERS,OTHERS,PETROL,PETROL,PETROL,DIESEL,DIESEL,DIESEL,TOTAL,TOTAL,TOTAL
country,2025,2024,2023,2025,2024,2023,2025,2024,2023,2025,2024,2023,2025,2024,2023,2025,2024,2023
Austria,237,105,58,52,81,24,11,0,0,0,0,,831,832,1,1131,1018,1
Belgium,737,221,339,18,54,0,0,2,0,0,1,,699,565,393,1454,843,732
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Croatia,9,0,1,3,0,10,1,0,0,0,0,,265,196,107,278,196,118
Cyprus,0,0,0,0,0,0,0,0,0,1,0,,54,72,226,55,72,252
Czechia,43,59,6,0,13,10,69,69,246,0,0,,710,1190,818,822,1331,1
Denmark,411,381,201,0,0,0,0,6,12,0,0,,169,190,175,580,577,388
Estonia,1,17,0,0,0,0,5,1,12,0,0,,99,162,136,105,180,148
Finland,148,319,106,0,0,0,20,1,3,0,0,,252,241,140,420,561,249
France,710,658,743,353,726,813,1061,1051,1,0,0,,4134,3828,3,6258,6263,6
Germany,1808,876,835,974,809,1,128,65,58,0,3,,3980,3629,3,6890,5382,5
Greece,116,271,7,0,0,0,111,0,0,0,0,,756,603,245,983,874,252
Hungary,65,2,60,0,0,0,0,0,7,0,0,,906,414,753,971,416,820
Ireland,26,227,51,0,0,2,0,0,0,0,0,,384,349,286,410,576,339
Italy,1371,1174,449,337,845,671,1116,1546,903,0,0,,2684,2986,3,5508,6551,5
Latvia,54,29,45,0,0,0,0,0,14,0,0,,84,324,118,138,353,177
Lithuania,222,75,69,0,23,51,10,0,4,0,0,,195,171,146,427,269,270
Luxembourg,92,242,80,9,4,40,0,4,13,0,0,,156,68,114,257,318,247
Malta,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Netherlands,784,409,178,0,0,0,0,3,9,0,0,,307,477,206,1091,889,393
Poland,342,195,355,135,81,111,87,158,120,0,0,,2119,1867,1,2683,2301,2
Portugal,235,79,385,0,0,1,13,0,24,0,0,,834,771,574,1082,850,984
Romania,287,334,363,18,55,111,0,0,12,0,0,,85,97,114,390,486,600
Slovakia,8,0,11,0,0,0,0,0,11,0,0,,191,252,771,199,252,793
Slovenia,6,5,16,0,0,0,8,0,0,0,0,,245,177,115,259,182,131
Spain,479,617,525,762,850,869,69,93,172,0,0,,2587,2500,2,3897,4060,4
Sweden,898,248,312,0,0,1,21,14,172,0,0,,1031,521,633,1950,783,1
EU,9089,6543,5,2661,3541,4,2730,3013,3,1,4,,23757,22482,20,38238,35583,33
Iceland,23,7,15,0,0,0,0,0,2,0,0,,165,191,126,188,198,143
Norway,599,364,571,0,0,0,33,12,97,0,2,,364,480,364,996,858,1
Switzerland,313,155,184,64,95,173,0,1,6,0,0,,278,325,313,655,576,676
EFTA,935,526,770,64,95,173,33,13,105,0,2,,807,996,803,1839,1632,2
United Kingdom,2856,1827,1,0,0,0,15,25,0,0,0,,6747,6952,4,9618,8804,6
EU + EFTA + UK,12880,8896,7,2725,3636,4,2778,3051,3,1,6,,31311,30430,25,49695,46019,40
