country,EV,EV,EV,HYBRID,HYBRID,HYBRID,OTHERS,OTHERS,OTHERS,PETROL,PETROL,PETROL,DIESEL,DIESEL,DIESEL,TOTAL,TOTAL,TOTAL
country,2025,2024,2023,2025,2024,2023,2025,2024,2023,2025,2024,2023,2025,2024,2023,2025,2024,2023
Austria,405,167,59,0, -   , -   ,3,34,14,0, -   , -   ,6435,7769,7935,6843,797,8008
Belgium,191,79,102,2, -   , -   ,70,48,85,10,3,4,7397,7742,8627,7670,7872,8818
Bulgaria,0, -   , -   ,0, -   , -   ,0, -   , -   ,0, -   , -   ,0, -   , -   ,0, -   , -   
Croatia,0,1,1,0, -   , -   ,0, -   , -   ,3, -   , -   ,1482,1682,175,1485,1683,1751
Cyprus,0, -   , -   ,0, -   , -   ,0, -   , -   ,1, -   , -   ,118,87,76,119,87,76
Czechia,136,27,10,0, -   , -   ,33,12,954,0, -   , -   ,8993,9133,9444,9162,9172,10408
Denmark,277,235,212,0, -   , -   ,21,18,57,0, -   ,1,3888,3937,4174,4186,419,4444
Estonia,3,1,1,0, -   , -   ,7,6,2,0, -   , -   ,630,578,836,640,585,839
Finland,54,42,37,0, -   , -   ,229,177,92,0, -   , -   ,2098,247,2757,2381,2689,2886
France,861,671,551,0, -   ,1,3321,3723,2733,1, -   , -   ,34267,38177,40327,38450,42571,43612
Germany,1398,1035,606,7,10,2,1265,968,1275,6,2,8,50469,58198,67091,53145,60213,68982
Greece,13,3,2,0, -   , -   ,0,3,3,0, -   , -   ,370,670,420,383,676,425
Hungary,29,4,11,0,1, -   ,5,2,12,0, -   , -   ,4965,4902,5818,4999,4909,5841
Ireland,9,17,15,0,1, -   ,14,59,18,0, -   , -   ,2306,2313,2243,2329,239,2276
Italy,79,24,30,12,10,149,364,361,406,0, -   , -   ,22533,23344,23585,22988,23739,24170
Latvia,0,2,1,0, -   , -   ,42,13,9,0, -   , -   ,1137,1144,1788,1179,1159,1798
Lithuania,3,2,7,0, -   , -   ,46,14,17,0, -   , -   ,10880,6836,10544,10929,6852,10568
Luxembourg,7,8,11,0, -   , -   ,0,1,1,0, -   ,2,977,937,1703,984,946,1717
Malta,0, -   , -   ,0, -   , -   ,0, -   , -   ,0, -   , -   ,0, -   , -   ,0, -   , -   
Netherlands,878,478,382,8,29,62,88,237,33,0, -   , -   ,8445,15076,1362,9419,1582,14097
Poland,52,41,41,1, -   ,2,182,131,315,4, -   , -   ,26576,24366,3143,26815,24538,31788
Portugal,9,1,1,0, -   , -   ,32,17,17,0, -   , -   ,5612,552,6142,5653,5538,616
Romania,55,3,17,0,1, -   ,34,2,4,0, -   , -   ,8614,7949,8476,8703,7955,8497
Slovakia,9,5,6,0, -   , -   ,6,3,13,0, -   , -   ,2791,307,3509,2806,3078,3528
Slovenia,7,2,2,0, -   , -   ,0,3,3,0, -   , -   ,2044,1996,238,2051,2001,2385
Spain,138,136,178,0,1,5,510,777,791,0, -   , -   ,25495,26174,23280,26143,27088,24254
Sweden,378,344,289,0, -   , -   ,580,587,785,0, -   , -   ,4068,43,5548,5026,5231,6622
EU,4991,3328,2572,30,53,221,6852,7196,7639,25,5,15,242590,25837,283503,254488,268952,293950
Iceland,8,8,17,0, -   , -   ,3,7,13,0, -   , -   ,219,275,267,230,290,297
Norway,388,371,195,0, -   , -   ,419,547,405,1,1,4,3171,3869,4214,3979,4788,4818
Switzerland,524,306,190,0, -   , -   ,25,27,31,0, -   , -   ,2892,3688,3509,3441,4021,373
EFTA,920,685,402,0, -   , -   ,447,581,449,1,1,4,6282,7832,799,7650,9099,8845
United Kingdom,461,278,288,0, -   , -   ,914,655,1038,1,1,2,34232,37923,40784,35608,38857,42112
EU + EFTA + UK,6372,4291,3262,30,53,221,8213,8432,9126,27,7,21,283104,304125,332277,297746,316908,344907
