country,EV,EV,EV,HYBRID,HYBRID,HYBRID,OTHERS,OTHERS,OTHERS,PETROL,PETROL,PETROL,DIESEL,DIESEL,DIESEL,TOTAL,TOTAL,TOTAL
country,2025,2024,2023,2025,2024,2023,2025,2024,2023,2025,2024,2023,2025,2024,2023,2025,2024,2023
Austria,4684,2909,3265,853,213,362,20,12,17,872,2029,1934,27024,27912,25123,33453,33075,30701
Belgium,4844,2644,307,900,83,57,39,94,102,3836,5334,4354,61179,57625,59966,70798,6578,67549
Bulgaria,184,80,147,0,0,0,0,1,17,33,266,216,5676,6447,4812,5893,6794,5192
Croatia,130,45,191,233,12,24,60,35,69,185,161,197,6957,8242,6982,7565,8495,7463
Cyprus,88,25,15,223,125,74,0,0,0,368,409,359,1512,1689,1318,2191,2248,1766
Czechia,1580,622,353,0,13,1,71,132,759,1079,1464,1255,17548,1953,20367,20278,21761,22735
Denmark,8297,4941,3266,468,657,722,0,0,0,507,1204,1056,16335,21251,20702,25607,28053,25746
Estonia,120,98,126,39,53,30,0,0,0,109,353,304,2055,3576,3444,2323,408,3904
Finland,2351,1304,1602,65,113,175,1,10,15,95,96,83,7923,8212,9146,10435,9735,11021
France,37758,27059,27789,16949,11701,9522,1738,4746,4209,25524,41581,42569,276330,294660,291421,358299,379747,375510
Germany,30252,14999,20798,1701,1631,1812,1443,2933,3336,10565,14902,14292,221840,246613,219138,265801,281078,259376
Greece,1487,1332,998,523,118,0,24,34,38,448,402,748,8645,7986,8224,11127,9872,10008
Hungary,2224,1388,674,600,38,82,565,2282,1328,612,573,1059,19664,20501,17606,23665,24782,20749
Ireland,2520,957,966,119,164,50,6,3,3,218,343,303,29916,29318,27532,32779,30785,28854
Italy,10307,4299,7275,14336,14864,16399,6524,7427,8059,7510,7606,8455,149696,164321,156544,188373,198517,196732
Latvia,172,56,81,0,0,0,1,0,2,104,126,162,2314,2555,2454,2591,2737,2699
Lithuania,368,76,179,182,1,1,0,0,2,132,227,190,3219,2589,2732,3901,2893,3104
Luxembourg,419,297,432,9,0,5,8,0,0,79,198,203,4300,3502,4772,4815,3997,5412
Malta,182,162,105,6,7,8,1,0,0,68,52,45,521,668,656,778,889,814
Netherlands,17388,11704,9972,43,483,263,101,202,1048,113,2734,1601,3137,112937,5641,20782,129878,69294
Poland,2837,1867,245,448,310,77,57,130,190,2762,3722,3845,64052,60824,5796,70156,66853,64522
Portugal,3649,233,2448,10,10,10,14,36,38,156,164,134,28472,29764,25893,32301,32304,28523
Romania,1930,844,557,382,49,100,79,41,52,1483,1277,1067,14912,18001,15459,18786,20212,17235
Slovakia,646,163,258,153,0,2,4,17,15,301,524,613,7311,8357,8219,8415,9061,9107
Slovenia,225,76,108,98,10,21,4,7,7,156,191,177,6661,8293,7373,7144,8577,7686
Spain,17426,7184,9965,774,1625,4124,573,562,556,6356,7667,5483,160430,149119,126016,185559,166157,146144
Sweden,9665,8698,8667,0,2,0,2263,3256,1996,598,861,1044,20932,25511,32006,33458,38328,43713
EU,161733,96159,105757,39114,32282,33921,13596,23778,21858,64269,94466,91748,1168561,1340003,1212275,1447273,1586688,1465559
Iceland,288,189,398,113,9,5,12,4,1,181,311,298,907,1357,127,1501,187,1972
Norway,13678,8244,9002,33,0,0,2,4,4,252,296,466,15702,19915,20101,29667,28459,29573
Switzerland,5093,2614,3914,52,41,95,43,79,99,2528,2778,2776,21404,25229,23686,29120,30741,3057
EFTA,19059,11047,13314,198,50,100,57,87,104,2961,3385,354,38013,46501,45057,60288,6107,62115
United Kingdom,38353,23317,22269,8968,8201,7425,0,1,2,6190,702,7334,262335,315726,307815,315846,354265,344845
EU + EFTA + UK,219145,130523,14134,48280,40533,41446,13653,23866,21964,73420,104871,102622,1468909,1702230,1565147,1823407,2002023,1872519
