country,EV,EV,EV,HYBRID,HYBRID,HYBRID,OTHERS,OTHERS,OTHERS,PETROL,PETROL,PETROL,DIESEL,DIESEL,DIESEL,TOTAL,TOTAL,TOTAL
country,2025,2024,2023,2025,2024,2023,2025,2024,2023,2025,2024,2023,2025,2024,2023,2025,2024,2023
Austria,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Belgium,134,50,11,0,0,0,2,2,11,0,0,,1227,1356,1215,1363,1408,124
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Croatia,2,0,0,0,0,0,0,0,0,0,0,,304,365,297,306,365,297
Cyprus,0,0,0,1,0,0,0,0,0,0,0,,67,94,83,68,94,83
Czechia,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Denmark,470,212,104,0,0,0,1,1,9,0,0,,381,417,416,852,630,529
Estonia,1,0,0,0,0,0,0,0,0,0,0,,42,60,33,43,60,33
Finland,36,20,6,24,34,29,9,6,6,15,71,,463,614,927,547,745,1056
France,852,642,2534,1,1,0,703,776,531,4,4,,6069,6641,5460,7629,8064,8531
Germany,3368,2378,1563,0,0,0,28,78,110,17,15,,20873,25556,24151,24286,28027,25838
Greece,72,3,0,0,0,0,0,0,7,0,0,,165,201,294,237,204,301
Hungary,25,23,19,0,0,0,0,0,0,0,0,,329,349,499,354,372,518
Ireland,4,3,1,0,0,0,0,1,0,0,0,,382,471,378,386,475,379
Italy,521,189,69,5,18,128,48,138,154,1,3,,4146,4611,4368,4721,4959,4719
Latvia,4,5,0,0,0,0,2,0,0,0,0,,48,79,70,54,84,70
Lithuania,2,1,0,0,0,0,1,0,0,0,0,,171,140,94,174,141,94
Luxembourg,12,2,4,0,0,0,1,0,0,0,1,,99,132,111,112,135,115
Malta,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Netherlands,1147,184,766,0,1,5,3,4,6,0,1,,562,2564,1262,1712,2754,2039
Poland,126,57,44,0,1,0,25,2,23,2,0,,2978,3445,3626,3131,3505,3694
Portugal,82,30,13,0,0,0,7,3,1,0,0,,654,810,741,743,843,755
Romania,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Slovakia,24,20,6,0,0,0,0,0,0,0,0,,266,314,405,290,334,411
Slovenia,2,5,4,0,0,0,1,0,0,0,0,,121,127,140,124,132,144
Spain,364,242,163,0,0,0,154,239,492,0,0,,4328,4571,3779,4846,5052,4434
Sweden,619,122,3,0,0,0,24,8,34,1,0,,350,431,525,994,561,562
EU,7867,4188,5310,31,55,162,1009,1258,1384,40,95,,44025,53348,48874,52972,58944,55842
Iceland,51,3,1,0,0,0,0,0,1,0,0,,92,93,122,143,96,125
Norway,435,327,510,0,0,0,35,36,14,0,2,,421,984,1134,891,1349,1659
Switzerland,418,270,197,0,0,0,0,11,6,0,0,,559,682,549,977,963,752
EFTA,904,600,708,0,0,0,35,47,21,0,2,,1072,1759,1805,2011,2408,2536
United Kingdom,2562,1645,1222,0,2,5,15,7,16,12,11,,15922,12352,1065,18511,14017,11904
EU + EFTA + UK,11333,6433,724,31,57,167,1059,1312,1421,52,108,,61019,67459,61329,73494,75369,70282
