manufacturer,model,powertrain,gwv_t,dummy,gwv_t_max_t,gtw_t_raw,gtw_t,power_kW,energy_kWh,Single_Battery_Weight_kg,Battery_#,DC_Recaharg_kW,Recharge_Time,H2_kg,H2_pressure_bar,application,range_km,availability,segment
IVECO,S-eWay,BEV,44t GCW,44,44.0,,13,480,,408,7,350,,,,urban and regional application,up to 550 km,in series production,truck
IVECO,S-eWay Fuel Cell,FCEV,44t GCW,44,44.0,,0,400,,,,,,70,700,long haul/regional distribution,800,in series production,truck
DAF Trucks NV,XB Electric,BEV,12t,12,12.0,,0,,,,,,,,,urban/national distribution,up to 350 km,in series production,truck
DAF Trucks NV,XB Electric,BEV,16t,16,16.0,,0,,,,,,,,,urban/national distribution,up to 350 km,in series production,truck
DAF Trucks NV,XB Electric,BEV,19t,19,19.0,,0,,,,,,,,,urban/national distribution,up to 350 km,in series production,truck
DAF Trucks NV,XD Electric,BEV,20.5t,20,20.0,50t,50,,,,,,,,,urban/regional/long haul,up to 500 km,in series production,truck
DAF Trucks NV,XD Electric,BEV,21.5t,21,21.0,50t,50,,,,,,,,,urban/regional/long haul,up to 500 km,in series production,truck
DAF Trucks NV,XD Electric,BEV,29t,29,29.0,50t,50,,,,,,,,,urban/regional/long haul,up to 500 km,in series production,truck
DAF Trucks NV,XD Electric,BEV,29t,29,29.0,,0,,,,,,,,,urban/regional haul,up to 500 km,in series production,truck
DAF Trucks NV,XF Electric,BEV,20.5t,20,20.0,50t,50,,,,,,,,,urban/regional/long haul,up to 500 km,in series production,truck
DAF Trucks NV,XF Electric,BEV,29t,29,29.0,50t,50,,,,,,,,,urban/regional/long haul,up to 500 km,in series production,truck
Daimler Truck,eCanter,BEV,7.49t,7.5,7.5,11t,11,,,,,,,,,urban delivery,100 km,in series production,truck
Daimler Truck,eActros 300,BEV,19–27t,19,19.0,40t,40,,,,,,,,,regional delivery,300 km,in series production,truck
Daimler Truck,eActros 400,BEV,19–27t,19,19.0,40t,40,,,,,,,,,regional delivery,400 km,in series production,truck
Daimler Truck,eEconic 300,BEV,19–27t,19,19.0,40t,40,,,,,,,,,municipality/urban delivery,100–150 km,in series production,truck
Daimler Truck,eActros 300 successor,BEV,19–27t,19,19.0,40t,40,,,,,,,,,regional delivery,300 km,in series production,truck
