Category,Year,Technology,Route,Weight,MaintenanceCost
LDT,2026,ICE-D,Urban,3.5,0.118
LDT,2026,ICE-NG,Urban,3.5,0.118
LDT,2026,BET,Urban,3.5,0.065
LDT,2026,FCET,Urban,3.5,0.077
MDT,2026,ICE-D,Regional,7.5,0.158
MDT,2026,ICE-NG,Regional,7.5,0.158
MDT,2026,BET,Regional,7.5,0.101
MDT,2026,FCET,Regional,7.5,0.105
HDT,2026,ICE-D,LongHaul,32,0.214
HDT,2026,ICE-NG,LongHaul,32,0.214
HDT,2026,BET,LongHaul,32,0.152
HDT,2026,FCET,LongHaul,32,0.145
LDT,2030,ICE-D,Urban,3.5,0.118
LDT,2030,ICE-NG,Urban,3.5,0.118
LDT,2030,BET,Urban,3.5,0.065
LDT,2030,FCET,Urban,3.5,0.077
MDT,2030,ICE-D,Regional,7.5,0.158
MDT,2030,ICE-NG,Regional,7.5,0.158
MDT,2030,BET,Regional,7.5,0.101
MDT,2030,FCET,Regional,7.5,0.105
HDT,2030,ICE-D,LongHaul,32,0.214
HDT,2030,ICE-NG,LongHaul,32,0.214
HDT,2030,BET,LongHaul,32,0.152
HDT,2030,FCET,LongHaul,32,0.145
LDT,2035,ICE-D,Urban,3.5,0.118
LDT,2035,ICE-NG,Urban,3.5,0.118
LDT,2035,BET,Urban,3.5,0.065
LDT,2035,FCET,Urban,3.5,0.077
MDT,2035,ICE-D,Regional,7.5,0.158
MDT,2035,ICE-NG,Regional,7.5,0.158
MDT,2035,BET,Regional,7.5,0.101
MDT,2035,FCET,Regional,7.5,0.105
HDT,2035,ICE-D,LongHaul,32,0.214
HDT,2035,ICE-NG,LongHaul,32,0.214
HDT,2035,BET,LongHaul,32,0.152
HDT,2035,FCET,LongHaul,32,0.145
