MANUFACTURER,MODEL,TYPE,TECHNOLOGY,SEGMENT,RANGE,MOTOR,BATTERY,ENERGY,CHARGE_POWER,BATTERY_TECHNOLOGY,KERB_WEIGHT,GCW,PAYLOAD,Charging time 10% to 80% (CCS2)
DAF,XB Electric,truck,BET,MDT,280,210,282,282,,,,,,
DAF,XD Electric,truck,BET,MDT,350,325,315,315,,,,,,
DAF,XF Electric,truck,BET,HDT,500,350,525,525,,,,,,
DAIMLER TRUCK,eActros 300,truck,BET,MDT,300,330,336,336,,,,,,
DAIMLER TRUCK,eActros 600,truck,BET,HDT,500,600,621,621,400,LFP,11,44,22,
VOLVO,FL Electric,truck,BET,MDT,300,185,265,265,,,,,,
VOLVO,FH Electric,truck,BET,HDT,500,490,540,540,,,,,,
MAN,eTGX,truck,BET,HDT,500,450,534,534,,,,,,
MAN,Lion's City 12E,bus,BET,bus,350,240,480,480,,,,,,
VOLVO,7900 Electric,bus,BET,bus,250,200,330,330,,,,,,
IVECO,Iveco eDaily,truck,BET,LDT,300,,87,87,,,,,,
MERCEDES-BENZ,Mercedes-Benz eSprinter,truck,BET,LDT,300,,87,87,,,,,,
FORD,Ford E-Transit,truck,BET,LDT,300,,87,87,,,,,,
RENALUT,Renault Master E-Tech,truck,BET,LDT,300,,87,87,,,,,,
HYUNDAY,Xcient,truck,FCET,MDT,400,350,31,1023,,,,,,
PAUL,PH2P® Truck,truck,FCET,MDT,300,200,28.8,950.4,,,,,,
QUANTRON,QHM FCEV,truck,FCET,HDT,700,420,54,1782,,,,,,
IVECO,S-eWay H2,truck,FCET,HDT,800,400,70,2310,,,,,,
DAIMLER TRUCK,GenH2,truck,FCET,HDT,1000,400,80,2640,,,,,,
DAIMLER TRUCK,eCitaro fuel cell Artic.,bus,FCET,bus,,,,0,,,,,,
DAIMLER TRUCK,eActros400,truck,BET,MDT,400,,414,,400,LFP,9.7,44,25,46 min
FUSO,eCanter,truck,BET,LDT,140,129,129,82.6,104,,,7.5,5,
