,Category,Year,Technology,FuelTankCost,TankSize,FuelTankCostTotal,PowerTrainCost,PowerTrain,PowerTrainCostTotal,RestOfTruckCostTotal,TruckCostTotal,capex_energy,capex_power,capex_fixed,FuelCellsCost,FuelCellsPower,FuelCellsTotal,BatteryCost,BatterySize,BatteryCostTotal,H2TankCost,H2Tank,H2TankCostTotal
0,LDT,2026,ICE-D,1.5,120.0,180.0,100,140,14000,35000,49180,180.0,14000,35000,,,,,,,,,
1,MDT,2026,ICE-D,1.5,300.0,450.0,100,200,20000,70000,90450,450.0,20000,70000,,,,,,,,,
2,HDT,2026,ICE-D,1.5,1000.0,1500.0,100,400,40000,90000,131500,1500.0,40000,90000,,,,,,,,,
3,LDT,2030,ICE-D,1.5,120.0,180.0,100,140,14000,35000,49180,180.0,14000,35000,,,,,,,,,
4,MDT,2030,ICE-D,1.5,300.0,450.0,100,200,20000,70000,90450,450.0,20000,70000,,,,,,,,,
5,HDT,2030,ICE-D,1.5,1000.0,1500.0,100,400,40000,90000,131500,1500.0,40000,90000,,,,,,,,,
6,LDT,2035,ICE-D,1.5,120.0,180.0,100,140,14000,35000,49180,180.0,14000,35000,,,,,,,,,
7,MDT,2035,ICE-D,1.5,300.0,450.0,100,200,20000,70000,90450,450.0,20000,70000,,,,,,,,,
8,HDT,2035,ICE-D,1.5,1000.0,1500.0,100,400,40000,90000,131500,1500.0,40000,90000,,,,,,,,,
9,LDT,2026,ICE-NG,1.5,120.0,180.0,100,140,14000,35000,49180,180.0,14000,35000,,,,,,,,,
10,MDT,2026,ICE-NG,1.5,300.0,450.0,100,200,20000,70000,90450,450.0,20000,70000,,,,,,,,,
11,HDT,2026,ICE-NG,1.5,1000.0,1500.0,100,400,40000,90000,131500,1500.0,40000,90000,,,,,,,,,
12,LDT,2030,ICE-NG,1.5,120.0,180.0,100,140,14000,35000,49180,180.0,14000,35000,,,,,,,,,
13,MDT,2030,ICE-NG,1.5,300.0,450.0,100,200,20000,70000,90450,450.0,20000,70000,,,,,,,,,
14,HDT,2030,ICE-NG,1.5,1000.0,1500.0,100,400,40000,90000,131500,1500.0,40000,90000,,,,,,,,,
15,LDT,2035,ICE-NG,1.5,120.0,180.0,100,140,14000,35000,49180,180.0,14000,35000,,,,,,,,,
16,MDT,2035,ICE-NG,1.5,300.0,450.0,100,200,20000,70000,90450,450.0,20000,70000,,,,,,,,,
17,HDT,2035,ICE-NG,1.5,1000.0,1500.0,100,400,40000,90000,131500,1500.0,40000,90000,,,,,,,,,
18,LDT,2026,FCET,,,,40,0,0,0,0,0.0,0,0,500.0,0.0,0.0,200.0,0.0,0.0,450.0,0.0,0.0
19,MDT,2026,FCET,,,,40,350,14000,70000,202350,28350.0,104000,70000,500.0,180.0,90000.0,200.0,72.0,14400.0,450.0,31.0,13950.0
20,HDT,2026,FCET,,,,40,400,16000,90000,270300,64300.0,116000,90000,500.0,200.0,100000.0,200.0,164.0,32800.0,450.0,70.0,31500.0
21,LDT,2030,FCET,,,,40,0,0,0,0,0.0,0,0,500.0,0.0,0.0,200.0,0.0,0.0,450.0,0.0,0.0
22,MDT,2030,FCET,,,,40,350,14000,70000,202350,28350.0,104000,70000,500.0,180.0,90000.0,200.0,72.0,14400.0,450.0,31.0,13950.0
23,HDT,2030,FCET,,,,40,400,16000,90000,270300,64300.0,116000,90000,500.0,200.0,100000.0,200.0,164.0,32800.0,450.0,70.0,31500.0
24,LDT,2035,FCET,,,,40,0,0,0,0,0.0,0,0,500.0,0.0,0.0,200.0,0.0,0.0,450.0,0.0,0.0
25,MDT,2035,FCET,,,,40,350,14000,70000,202350,28350.0,104000,70000,500.0,180.0,90000.0,200.0,72.0,14400.0,450.0,31.0,13950.0
26,HDT,2035,FCET,,,,40,400,16000,90000,270300,64300.0,116000,90000,500.0,200.0,100000.0,200.0,164.0,32800.0,450.0,70.0,31500.0
27,LDT,2026,BET,,,,50,130,6500,35000,61500,20000.0,6500,35000,,,,200.0,100.0,20000.0,,,
28,MDT,2026,BET,,,,50,300,15000,70000,145000,60000.0,15000,70000,,,,200.0,300.0,60000.0,,,
29,HDT,2026,BET,,,,50,550,27500,150000,297500,120000.0,27500,150000,,,,200.0,600.0,120000.0,,,
30,LDT,2030,BET,,,,50,130,6500,35000,61500,20000.0,6500,35000,,,,200.0,100.0,20000.0,,,
31,MDT,2030,BET,,,,50,300,15000,70000,145000,60000.0,15000,70000,,,,200.0,300.0,60000.0,,,
32,HDT,2030,BET,,,,50,550,27500,150000,297500,120000.0,27500,150000,,,,200.0,600.0,120000.0,,,
33,LDT,2035,BET,,,,50,130,6500,35000,61500,20000.0,6500,35000,,,,200.0,100.0,20000.0,,,
34,MDT,2035,BET,,,,50,300,15000,70000,145000,60000.0,15000,70000,,,,200.0,300.0,60000.0,,,
35,HDT,2035,BET,,,,50,550,27500,150000,297500,120000.0,27500,150000,,,,200.0,600.0,120000.0,,,
