Category,Technology,Year,Unit,Value,Conversion,Value_LDE
HDT,BET,2026,kWh/100km,138,0.1,13.8
HDT,FCET,2026,kgH2/100km,8.32,3.33,27.71
HDT,ICE-D,2026,LDE/100km,30.7,1,30.7
HDT,ICE-NG,2026,kgNG/100km,25.7,1.39,35.72
MDT,BET,2026,kWh/100km,81,0.1,8.1
MDT,FCET,2026,kgH2/100km,4.62,3.33,15.38
MDT,ICE-D,2026,LDE/100km,28.8,1,28.8
MDT,ICE-NG,2026,kgNG/100km,23.62,1.39,32.83
LDT,BET,2026,kWh/100km,58,0.1,5.8
LDT,FCET,2026,kgH2/100km,3.33,3.33,11.09
LDT,ICE-D,2026,LDE/100km,23.8,1,23.8
LDT,ICE-NG,2025,kgNG/100km,19.37,1.39,26.92
HDT,BET,2030,kWh/100km,101,0.1,10.1
HDT,FCET,2030,kgH2/100km,6.13,3.33,20.41
HDT,ICE-D,2030,LDE/100km,23.2,1,23.2
HDT,ICE-NG,2030,kgNG/100km,20.16,1.39,28.02
MDT,BET,2030,kWh/100km,65,0.1,6.5
MDT,FCET,2030,kgH2/100km,3.37,3.33,11.22
MDT,ICE-D,2030,LDE/100km,21.2,1,21.2
MDT,ICE-NG,2030,kgNG/100km,19.2,1.39,26.69
LDT,BET,2030,kWh/100km,48,0.1,4.8
LDT,FCET,2030,kgH2/100km,2.48,3.33,8.26
LDT,ICE-D,2030,LDE/100km,17.6,1,17.6
LDT,ICE-NG,2030,kgNG/100km,16.15,1.39,22.45
HDT,BET,2035,kWh/100km,101,0.1,10.1
HDT,FCET,2035,kgH2/100km,6.13,3.33,20.41
HDT,ICE-D,2035,LDE/100km,23.2,1,23.2
HDT,ICE-NG,2035,kgNG/100km,20.16,1.39,28.02
MDT,BET,2035,kWh/100km,65,0.1,6.5
MDT,FCET,2035,kgH2/100km,3.37,3.33,11.22
MDT,ICE-D,2035,LDE/100km,21.2,1,21.2
MDT,ICE-NG,2035,kgNG/100km,19.2,1.39,26.69
LDT,BET,2035,kWh/100km,48,0.1,4.8
LDT,FCET,2035,kgH2/100km,2.48,3.33,8.26
LDT,ICE-D,2035,LDE/100km,17.6,1,17.6
LDT,ICE-NG,2035,kgNG/100km,16.15,1.39,22.45
