country,system,effective_from,effective_to,currency,vat_excluded,vat_rate,vehicle_type,axle_category,co2_class,euro_class,rate_total_eur_per_km,rate_infrastructure_eur_per_km,rate_air_noise_eur_per_km,rate_co2_eur_per_km,source_page_total,source_page_infra_airnoise,source_page_co2,VAT
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,2,5,ZEV,0.0587,0.0547,0.004,0,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,3,5,ZEV,0.0806,0.0766,0.004,0,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,4plus,5,ZEV,0.1189,0.1149,0.004,0,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,Bus,2,5,ZEV,0.0587,0.0547,0.004,0,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,Bus,3,5,ZEV,0.0806,0.0766,0.004,0,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,Bus,4plus,5,ZEV,0.1189,0.1149,0.004,0,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,2,4,EuroVI,0.2486,0.2186,0.006,0.024,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,3,4,EuroVI,0.344,0.306,0.009,0.029,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,4plus,4,EuroVI,0.5091,0.4591,0.01,0.04,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,2,3,EuroVI,0.2724,0.2186,0.006,0.0478,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,3,3,EuroVI,0.3788,0.306,0.009,0.0638,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,4plus,3,EuroVI,0.5625,0.4591,0.01,0.0934,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,2,2,EuroVI,0.274,0.2186,0.006,0.0494,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,3,2,EuroVI,0.381,0.306,0.009,0.066,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,4plus,2,EuroVI,0.5657,0.4591,0.01,0.0966,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,2,1,EuroVI,0.2774,0.2186,0.006,0.0528,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,3,1,EuroVI,0.3856,0.306,0.009,0.0706,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,4plus,1,EuroVI,0.5724,0.4591,0.01,0.1033,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,Bus,2,1,EuroVI,0.2642,0.2186,0.006,0.0396,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,Bus,3,1,EuroVI,0.368,0.306,0.009,0.053,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,Bus,4plus,1,EuroVI,0.5466,0.4591,0.01,0.0775,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,2,1,EuroV_EEV,0.2924,0.2186,0.021,0.0528,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,3,1,EuroV_EEV,0.4086,0.306,0.032,0.0706,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,4plus,1,EuroV_EEV,0.6024,0.4591,0.04,0.1033,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,Bus,2,1,EuroV_EEV,0.2792,0.2186,0.021,0.0396,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,Bus,3,1,EuroV_EEV,0.391,0.306,0.032,0.053,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,Bus,4plus,1,EuroV_EEV,0.5766,0.4591,0.04,0.0775,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,2,1,EuroIV,0.3114,0.2186,0.04,0.0528,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,3,1,EuroIV,0.4296,0.306,0.053,0.0706,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,4plus,1,EuroIV,0.6324,0.4591,0.07,0.1033,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,Bus,2,1,EuroIV,0.2982,0.2186,0.04,0.0396,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,Bus,3,1,EuroIV,0.412,0.306,0.053,0.053,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,Bus,4plus,1,EuroIV,0.6066,0.4591,0.07,0.0775,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,2,1,EuroIII,0.3274,0.2186,0.056,0.0528,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,3,1,EuroIII,0.4536,0.306,0.077,0.0706,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,4plus,1,EuroIII,0.6654,0.4591,0.103,0.1033,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,Bus,2,1,EuroIII,0.3142,0.2186,0.056,0.0396,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,Bus,3,1,EuroIII,0.436,0.306,0.077,0.053,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,Bus,4plus,1,EuroIII,0.6396,0.4591,0.103,0.0775,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,2,1,EuroII,0.3274,0.2186,0.056,0.0528,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,3,1,EuroII,0.4536,0.306,0.077,0.0706,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,4plus,1,EuroII,0.6654,0.4591,0.103,0.1033,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,Bus,2,1,EuroII,0.3142,0.2186,0.056,0.0396,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,Bus,3,1,EuroII,0.436,0.306,0.077,0.053,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,Bus,4plus,1,EuroII,0.6396,0.4591,0.103,0.0775,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,2,1,EuroI,0.3274,0.2186,0.056,0.0528,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,3,1,EuroI,0.4536,0.306,0.077,0.0706,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,4plus,1,EuroI,0.6654,0.4591,0.103,0.1033,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,Bus,2,1,EuroI,0.3142,0.2186,0.056,0.0396,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,Bus,3,1,EuroI,0.436,0.306,0.077,0.053,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,Bus,4plus,1,EuroI,0.6396,0.4591,0.103,0.0775,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,2,1,Euro0,0.3274,0.2186,0.056,0.0528,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,3,1,Euro0,0.4536,0.306,0.077,0.0706,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,HGV_motorhome,4plus,1,Euro0,0.6654,0.4591,0.103,0.1033,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,Bus,2,1,Euro0,0.3142,0.2186,0.056,0.0396,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,Bus,3,1,Euro0,0.436,0.306,0.077,0.053,1,2,3,0.2
AT,GO-Maut,01/01/2026,,EUR,TRUE,0.2,Bus,4plus,1,Euro0,0.6396,0.4591,0.103,0.0775,1,2,3,0.2
