country,system,effective_from,effective_to,co2_class_string,co2_class,euro_class,weight_band,axle_band,rate_cent_per_km,rate_eur_per_km,VAT,
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroVI,>3.5-<7.5t,NA,15.1,0.151,0.19,EuroVI
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroVI,7.5-<12t,NA,17.7,0.177,0.19,EuroVI
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroVI,12-18t,NA,23.8,0.238,0.19,EuroVI
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroVI,>18t,<=3 axles,30.3,0.303,0.19,EuroVI
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroVI,>18t,4 axles,32.4,0.324,0.19,EuroVI
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroVI,>18t,>=5 axles,34.8,0.348,0.19,EuroVI
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroV/EEV,>3.5-<7.5t,NA,18.9,0.189,0.19,EuroV/EEV
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroV/EEV,7.5-<12t,NA,20.5,0.205,0.19,EuroV/EEV
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroV/EEV,12-18t,NA,27.5,0.275,0.19,EuroV/EEV
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroV/EEV,>18t,<=3 axles,35.3,0.353,0.19,EuroV/EEV
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroV/EEV,>18t,4 axles,36.3,0.363,0.19,EuroV/EEV
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroV/EEV,>18t,>=5 axles,38.9,0.389,0.19,EuroV/EEV
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroIV,>3.5-<7.5t,NA,20.1,0.201,0.19,EuroIV
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroIV,7.5-<12t,NA,22.1,0.221,0.19,EuroIV
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroIV,12-18t,NA,28.6,0.286,0.19,EuroIV
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroIV,>18t,<=3 axles,37.1,0.371,0.19,EuroIV
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroIV,>18t,4 axles,38.8,0.388,0.19,EuroIV
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroIV,>18t,>=5 axles,41.4,0.414,0.19,EuroIV
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroIII,>3.5-<7.5t,NA,22.5,0.225,0.19,EuroIII
