Category,Year,Technology,Weight,DailyMileage ,Total_Payload_Capacity ,Utilization_Total_Payload ,OperatingHoursDay,Annual_km,Maintenance_cost
LDT,2026,ICE-D,3.5,75,1.5,0.5,,19500,11
LDT,2026,ICE-NG,3.5,75,1.5,0.5,,19500,11
LDT,2026,BET,3.5,75,1.5,0.5,,19500,7.5
LDT,2026,FCET,3.5,75,1.5,0.5,,19500,11
MDT,2026,ICE-D,7.5,200,1.8,0.6,,52000,15.77
MDT,2026,ICE-NG,7.5,200,1.8,0.6,,52000,15.77
MDT,2026,BET,7.5,200,1.8,0.6,,52000,10.51
MDT,2026,FCET,7.5,200,1.8,0.6,,52000,16.32
HDT,2026,ICE-D,32,97.5,14,0.65,,156000,18.5
HDT,2026,ICE-NG,32,97.5,14,0.65,,156000,18.5
HDT,2026,BET,32,97.5,22,0.65,,156000,13.24
HDT,2026,FCET,32,97.5,14,0.65,,156000,19.6
LDT,2030,ICE-D,3.5,75,1.5,0.5,,19500,11
LDT,2030,ICE-NG,3.5,75,1.5,0.5,,19500,11
LDT,2030,BET,3.5,75,1.5,0.5,,19500,7.5
LDT,2030,FCET,3.5,75,1.5,0.5,,19500,11
MDT,2030,ICE-D,7.5,200,1.5,0.5,,52000,15.77
MDT,2030,ICE-NG,7.5,200,1.5,0.5,,52000,15.77
MDT,2030,BET,7.5,200,1.5,0.5,,52000,10.51
MDT,2030,FCET,7.5,200,1.5,0.5,,52000,16.32
HDT,2030,ICE-D,32,75,14,0.5,,156000,18.5
HDT,2030,ICE-NG,32,75,14,0.5,,156000,18.5
HDT,2030,BET,32,97.5,22,0.65,,156000,13.24
HDT,2030,FCET,32,75,14,0.5,,156000,19.6
LDT,2035,ICE-D,3.5,75,1.5,0.5,,19500,11
LDT,2035,ICE-NG,3.5,75,1.5,0.5,,19500,11
LDT,2035,BET,3.5,75,1.5,0.5,,19500,7.5
LDT,2035,FCET,3.5,75,1.5,0.5,,19500,11
MDT,2035,ICE-D,7.5,200,1.5,0.5,,52000,15.77
MDT,2035,ICE-NG,7.5,200,1.5,0.5,,52000,15.77
MDT,2035,BET,7.5,200,1.5,0.5,,52000,10.51
MDT,2035,FCET,7.5,200,1.5,0.5,,52000,16.32
HDT,2035,ICE-D,32,75,14,0.5,,156000,18.5
HDT,2035,ICE-NG,32,75,14,0.5,,156000,18.5
HDT,2035,BET,32,97.5,22,0.65,,156000,13.24
HDT,2035,FCET,32,75,14,0.5,,156000,19.6
