Category,Year,Technology,Energy_Storage_Cost,Powertrain_Cost,Other_cost,Rest_of_Truck_Cost,Energy,Power,Weight,Daily range ,Total_Payload_Capacity ,Utilization_Total_Payload ,Lifetime ,Annual_km,Maintenance_cost,check,imposed_capex,,
LDT,2026,ICE-D,0.21,90,0,35000,65,120,3.5,75,1.5,0.5,7,19500,11," € 45,814 ",,,
LDT,2026,ICE-NG,4.18,63.62,2800,17070,67,80,3.5,75,1.5,0.5,7,19500,11,25239.66,,,
LDT,2026,BET,200,32.5,2800,37000,56,100,3.5,75,1.5,0.5,7,19500,7.5,54250,55000,750,
LDT,2026,FCET,24,700,2800,17070,53,80,3.5,75,1.5,0.5,7,19500,11,77142,,,
MDT,2026,ICE-D,0.252,90,0,65000,322,200,7.5,200,1.8,0.6,7,52000,15.77,83081.144,,,
MDT,2026,ICE-NG,5.016,76.344,3360,20484,322,151,7.5,200,1.8,0.6,7,52000,15.77,36987.096,,,
MDT,2026,BET,200,39,0,86000,336,160,7.5,200,1.8,0.6,7,52000,10.51," € 159,440 "," € 160,000 ", € 560 ,
MDT,2026,FCET,28.8,700,3360,20484,263,151,7.5,200,1.8,0.6,7,52000,16.32,137118.4,,,
HDT,2026,ICE-D,0.273,90,0,75000,2600,400,32,97.5,14,0.65,7,156000,18.5,111709.8,,,
HDT,2026,ICE-NG,5.434,82.706,0,135000,2677,343,32,97.5,14,0.65,7,156000,18.5," € 177,915 "," € 180,000 ",,
HDT,2026,BET,200,42.25,0,165000,621,400,32,97.5,22,0.65,7,156000,13.24," € 306,100 "," € 310,000 "," € 3,900 ", € 499.19 
HDT,2026,FCET,31.2,700,3640,22191,2116,343,32,97.5,14,0.65,7,156000,19.6,331950.2,,,
LDT,2030,ICE-D,0.21,90,0,35000,65,120,3.5,75,1.5,0.5,7,19500,11," € 45,814 ",,,
LDT,2030,ICE-NG,4.18,63.62,2800,17070,67,80,3.5,75,1.5,0.5,7,19500,11,25239.66,,,
LDT,2030,BET,200,32.5,2800,37000,56,100,3.5,75,1.5,0.5,7,19500,7.5,54250,55000,,
LDT,2030,FCET,24,289,2800,17070,53,80,3.5,75,1.5,0.5,7,19500,11,44262,,,
MDT,2030,ICE-D,0.21,90,0,65000,322,200,7.5,200,1.5,0.5,7,52000,15.77,83067.62,,,
MDT,2030,ICE-NG,4.18,63.62,2800,20484,322,151,7.5,200,1.5,0.5,7,52000,15.77,34236.58,,,
MDT,2030,BET,200,39,0,86000,336,160,7.5,200,1.5,0.5,7,52000,10.51," € 159,440 "," € 160,000 ", € 560 ,
MDT,2030,FCET,24,289,2800,20484,263,151,7.5,200,1.5,0.5,7,52000,16.32,73235,,,
HDT,2030,ICE-D,0.21,90,0,75000,2600,400,32,75,14,0.5,7,156000,18.5,111546,,,
HDT,2030,ICE-NG,4.18,63.62,0,135000,2677,343,32,75,14,0.5,7,156000,18.5," € 168,012 "," € 180,000 ",,
HDT,2030,BET,200,42.25,0,165000,621,400,32,97.5,22,0.65,7,156000,13.24," € 306,100 "," € 310,000 "," € 3,900 ", 
HDT,2030,FCET,24,289,2800,22191,2116,343,32,75,14,0.5,7,156000,19.6,174902,,,
LDT,2035,ICE-D,0.21,90,0,35000,65,120,3.5,75,1.5,0.5,7,19500,11," € 45,814 ",,,
LDT,2035,ICE-NG,4.18,63.62,2800,17070,67,80,3.5,75,1.5,0.5,7,19500,11,25239.66,,,
LDT,2035,BET,200,32.5,2800,37000,56,100,3.5,75,1.5,0.5,7,19500,7.5,54250,55000,,
LDT,2035,FCET,24,232,2800,17070,53,80,3.5,75,1.5,0.5,7,19500,11,39702,,,
MDT,2035,ICE-D,0.21,90,0,65000,322,200,7.5,200,1.5,0.5,7,52000,15.77,83067.62,,,
MDT,2035,ICE-NG,4.18,63.62,2800,20484,322,151,7.5,200,1.5,0.5,7,52000,15.77,34236.58,,,
MDT,2035,BET,200,39,0,86000,336,160,7.5,200,1.5,0.5,7,52000,10.51," € 159,440 "," € 160,000 ", € 560 ,
MDT,2035,FCET,24,232,2800,20484,263,151,7.5,200,1.5,0.5,7,52000,16.32,64628,,,
HDT,2035,ICE-D,0.21,90,0,75000,2600,400,32,75,14,0.5,7,156000,18.5,111546,,,
HDT,2035,ICE-NG,4.18,63.62,0,135000,2677,343,32,75,14,0.5,7,156000,18.5," € 168,012 "," € 180,000 ",,
HDT,2035,BET,200,42.25,0,165000,621,400,32,97.5,22,0.65,7,156000,13.24," € 306,100 "," € 310,000 "," € 3,900 ",
HDT,2035,FCET,24,232,2800,22191,2116,343,32,75,14,0.5,7,156000,19.6,155351,,,
