Category,Year,Technology,Route,Weight,DailyMileage ,Total_Payload_Capacity ,Utilization_Total_Payload ,AverageSpeed,OperatingHoursDay,Annual_km
LDT,2026,ICE-D,Urban,3.5,75,1.5,0.5,30,5,19500
LDT,2026,ICE-NG,Urban,3.5,75,1.5,0.5,30,5,19500
LDT,2026,BET,Urban,3.5,75,1.5,0.5,30,5,19500
LDT,2026,FCET,Urban,3.5,75,1.5,0.5,30,5,19500
MDT,2026,ICE-D,Regional,7.5,200,1.8,0.6,50,6,52000
MDT,2026,ICE-NG,Regional,7.5,200,1.8,0.6,50,6,52000
MDT,2026,BET,Regional,7.5,200,1.8,0.6,50,6,52000
MDT,2026,FCET,Regional,7.5,200,1.8,0.6,50,6,52000
HDT,2026,ICE-D,LongHaul,32,600,14,0.65,75,8,156000
HDT,2026,ICE-NG,LongHaul,32,600,14,0.65,75,8,156000
HDT,2026,BET,LongHaul,32,600,22,0.65,75,8,156000
HDT,2026,FCET,LongHaul,32,600,14,0.65,75,8,156000
LDT,2030,ICE-D,Urban,3.5,75,1.5,0.5,30,5,19500
LDT,2030,ICE-NG,Urban,3.5,75,1.5,0.5,30,5,19500
LDT,2030,BET,Urban,3.5,75,1.5,0.5,30,5,19500
LDT,2030,FCET,Urban,3.5,75,1.5,0.5,30,5,19500
MDT,2030,ICE-D,Regional,7.5,200,1.5,0.5,50,6,52000
MDT,2030,ICE-NG,Regional,7.5,200,1.5,0.5,50,6,52000
MDT,2030,BET,Regional,7.5,200,1.5,0.5,50,6,52000
MDT,2030,FCET,Regional,7.5,200,1.5,0.5,50,6,52000
HDT,2030,ICE-D,LongHaul,32,600,14,0.5,75,8,156000
HDT,2030,ICE-NG,LongHaul,32,600,14,0.5,75,8,156000
HDT,2030,BET,LongHaul,32,600,22,0.65,75,8,156000
HDT,2030,FCET,LongHaul,32,600,14,0.5,75,8,156000
LDT,2035,ICE-D,Urban,3.5,75,1.5,0.5,30,5,19500
LDT,2035,ICE-NG,Urban,3.5,75,1.5,0.5,30,5,19500
LDT,2035,BET,Urban,3.5,75,1.5,0.5,30,5,19500
LDT,2035,FCET,Urban,3.5,75,1.5,0.5,30,5,19500
MDT,2035,ICE-D,Regional,7.5,200,1.5,0.5,50,6,52000
MDT,2035,ICE-NG,Regional,7.5,200,1.5,0.5,50,6,52000
MDT,2035,BET,Regional,7.5,200,1.5,0.5,50,6,52000
MDT,2035,FCET,Regional,7.5,200,1.5,0.5,50,6,52000
HDT,2035,ICE-D,LongHaul,32,600,14,0.5,75,8,156000
HDT,2035,ICE-NG,LongHaul,32,600,14,0.5,75,8,156000
HDT,2035,BET,LongHaul,32,600,22,0.65,75,8,156000
HDT,2035,FCET,LongHaul,32,600,14,0.5,75,8,156000
