,Country,Category,Technology,Year,annual_km_user,capex_total,Unit,consumption_per_100km,annual_consumption_user,annual_fuel_cost,annual_toll_cost,annual_wages_cost,Unitary_Wage_km,annual_driver_cost,TCO_CAPEX_EUR_per_km,Total_discounted_fuel,TCO_FUEL_EUR_per_km,TCO_TOLL_EUR_per_km,TCO_WAGES_EUR_per_km,TCO_TOTAL_EUR_per_km
0,ITALY,HDT,BET,2026,100000,297500,,,,96600,0,,0.43,43000,0.552020828,520605.3562,0.743721937,0,0.43,1.725742766
1,ITALY,HDT,FCET,2026,100000,270300,,,,116480,0,,0.43,43000,0.501550353,627744.4295,0.896777756,0,0.43,1.828328109
2,ITALY,HDT,ICE-D,2026,100000,131500,,,,46050,32500,,0.43,43000,0.244002484,248176.7769,0.354538253,0.325,0.43,1.353540737
3,ITALY,HDT,ICE-NG,2026,100000,131500,,,,38550,32500,,0.43,43000,0.244002484,207757.1064,0.296795866,0.325,0.43,1.29579835
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,annual_km_user,capex_total,,,,annual_fuel_cost,,,,,,,,,,
,,,,,100000,93750,,,,96600,43000,,,,,,,,,
,,T,6,,," 21,526 ",,,,,,,,,,,,,,
,,i,0.1,,,0.215257,,,,,,,,,,,,,,
,,,,,,,,,,,,0.791666667,,,,,,,,
,,CRF,0.22960738,,," 15,625 ",,,,,,,,,,,,,,
,,,,,,15625,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,0.25,,,,,,,,,,,,,,
,,,,,,70312.5,,,,,,,,,,,,,,
,,,,,,11718.75,,,,,,,,,,,,,,
